#chr1	x1	x2	chr2:y1-y2,2
chr13	107040000	107045000	chr13:107075000-107080000,2
chr13	48420000	48425000	chr13:48475000-48480000,2
chr13	50945000	50950000	chr13:51020000-51025000,2
chr13	63415000	63420000	chr13:63515000-63520000,2
chr13	70610000	70615000	chr13:70690000-70695000,2
chr13	75460000	75465000	chr13:75505000-75510000,2
chr13	75340000	75345000	chr13:75380000-75385000,2
chr13	75505000	75510000	chr13:75590000-75595000,2
chr13	75845000	75850000	chr13:75940000-75945000,2
chr13	77650000	77655000	chr13:77685000-77690000,2
chr13	76890000	76895000	chr13:76925000-76930000,2
chr13	81270000	81275000	chr13:81310000-81315000,2
chr13	83110000	83115000	chr13:83155000-83160000,2
chr13	90295000	90300000	chr13:90375000-90380000,2
chr13	83780000	83785000	chr13:83860000-83865000,2
chr13	96790000	96795000	chr13:96825000-96830000,2
chr13	97720000	97725000	chr13:97760000-97765000,2
chr13	98805000	98810000	chr13:98845000-98850000,2
chr13	98130000	98135000	chr13:98200000-98205000,2
chr13	101185000	101190000	chr13:101255000-101260000,2
chr13	99535000	99540000	chr13:99600000-99605000,2
chr13	21920000	21925000	chr13:21955000-21960000,2
chr13	30755000	30760000	chr13:30790000-30795000,2
chr13	44835000	44840000	chr13:44890000-44895000,2
chr13	44845000	44850000	chr13:44920000-44925000,2
chr13	35315000	35320000	chr13:35350000-35355000,2
chr13	35810000	35815000	chr13:35845000-35850000,2
chr13	16700000	16705000	chr13:16735000-16740000,2
chr13	20405000	20410000	chr13:20470000-20475000,2
chr13	52725000	52730000	chr13:52770000-52775000,2
chr13	54260000	54265000	chr13:54305000-54310000,2
chr13	74815000	74820000	chr13:74860000-74865000,2
chr13	77465000	77470000	chr13:77525000-77530000,2
chr13	78075000	78080000	chr13:78110000-78115000,2
chr13	78010000	78015000	chr13:78075000-78080000,2
chr13	80935000	80940000	chr13:81020000-81025000,2
chr13	90140000	90145000	chr13:90240000-90245000,2
chr13	91875000	91880000	chr13:91940000-91945000,2
chr13	90980000	90985000	chr13:91020000-91025000,2
chr13	24210000	24215000	chr13:24280000-24285000,2
chr13	104585000	104590000	chr13:104680000-104685000,2
chr13	104550000	104555000	chr13:104650000-104655000,2
chr13	6060000	6065000	chr13:6105000-6110000,2
chr13	14065000	14070000	chr13:14120000-14125000,2
chr13	9265000	9270000	chr13:9310000-9315000,2
chr13	90135000	90140000	chr13:90170000-90175000,2
chr13	97680000	97685000	chr13:97780000-97785000,2
chr13	99090000	99095000	chr13:99125000-99130000,2
chr13	98305000	98310000	chr13:98390000-98395000,2
chr13	103485000	103490000	chr13:103520000-103525000,2
chr13	102370000	102375000	chr13:102440000-102445000,2
chr13	32430000	32435000	chr13:32490000-32495000,2
chr13	109230000	109235000	chr13:109335000-109340000,2
chr13	15505000	15510000	chr13:15550000-15555000,2
chr13	46675000	46680000	chr13:46725000-46730000,2
chr13	45685000	45690000	chr13:45720000-45725000,2
chr13	89740000	89745000	chr13:89825000-89830000,2
chr13	97945000	97950000	chr13:97980000-97985000,2
chr13	36345000	36350000	chr13:36380000-36385000,2
chr13	41760000	41765000	chr13:41800000-41805000,2
chr13	75715000	75720000	chr13:75750000-75755000,2
chr13	102860000	102865000	chr13:102895000-102900000,2
chr13	102905000	102910000	chr13:102955000-102960000,2
chr13	111130000	111135000	chr13:111190000-111195000,2
chr13	106945000	106950000	chr13:106980000-106985000,2
chr13	12130000	12135000	chr13:12210000-12215000,2
chr13	116940000	116945000	chr13:117025000-117030000,2
chr13	28800000	28805000	chr13:28835000-28840000,2
chr13	30785000	30790000	chr13:30840000-30845000,2
chr13	109270000	109275000	chr13:109315000-109320000,2
chr13	31910000	31915000	chr13:32010000-32015000,2
chr13	31275000	31280000	chr13:31345000-31350000,2
chr13	52855000	52860000	chr13:52890000-52895000,2
chr13	52925000	52930000	chr13:52960000-52965000,2
chr13	59955000	59960000	chr13:59995000-60000000,2
chr13	53030000	53035000	chr13:53085000-53090000,2
chr13	118625000	118630000	chr13:118690000-118695000,2
chr13	9095000	9100000	chr13:9160000-9165000,2
chr13	15560000	15565000	chr13:15660000-15665000,2
chr13	30605000	30610000	chr13:30650000-30655000,2
chr13	32430000	32435000	chr13:32465000-32470000,2
chr13	32095000	32100000	chr13:32130000-32135000,2
chr13	32850000	32855000	chr13:32935000-32940000,2
chr13	42485000	42490000	chr13:42520000-42525000,2
chr13	41505000	41510000	chr13:41555000-41560000,2
chr13	49520000	49525000	chr13:49565000-49570000,2
chr13	46675000	46680000	chr13:46795000-46800000,2
chr13	56495000	56500000	chr13:56645000-56650000,2
chr13	55630000	55635000	chr13:55690000-55695000,2
chr13	60355000	60360000	chr13:60410000-60415000,2
chr13	58465000	58470000	chr13:58500000-58505000,2
chr13	81440000	81445000	chr13:81760000-81765000,2
chr13	70685000	70690000	chr13:70720000-70725000,2
chr13	94070000	94075000	chr13:94110000-94115000,2
chr13	93185000	93190000	chr13:93240000-93245000,2
chr13	98845000	98850000	chr13:98925000-98930000,2
chr13	99055000	99060000	chr13:99090000-99095000,2
chr13	98925000	98930000	chr13:99150000-99155000,2
chr13	103270000	103275000	chr13:103310000-103315000,2
chr13	103205000	103210000	chr13:103240000-103245000,2
chr13	112680000	112685000	chr13:112720000-112725000,2
chr13	112390000	112395000	chr13:112455000-112460000,2
chr13	111380000	111385000	chr13:111415000-111420000,2
chr13	110405000	110410000	chr13:110455000-110460000,2
chr13	3740000	3745000	chr13:3775000-3780000,2
chr13	119395000	119400000	chr13:119430000-119435000,2
chr13	12300000	12305000	chr13:12380000-12385000,2
chr13	6350000	6355000	chr13:6400000-6405000,2
chr13	24735000	24740000	chr13:24830000-24835000,2
chr13	14310000	14315000	chr13:14345000-14350000,2
chr13	41425000	41430000	chr13:41560000-41565000,2
chr13	36220000	36225000	chr13:36270000-36275000,2
chr13	32010000	32015000	chr13:32055000-32060000,2
chr13	30900000	30905000	chr13:30970000-30975000,2
chr13	45430000	45435000	chr13:45465000-45470000,2
chr13	43330000	43335000	chr13:43370000-43375000,2
chr13	51840000	51845000	chr13:52560000-52565000,2
chr13	49485000	49490000	chr13:49580000-49585000,2
chr13	52650000	52655000	chr13:53085000-53090000,2
chr13	52560000	52565000	chr13:52620000-52625000,2
chr13	63330000	63335000	chr13:63415000-63420000,2
chr13	60165000	60170000	chr13:60465000-60470000,2
chr13	90515000	90520000	chr13:90745000-90750000,2
chr13	90090000	90095000	chr13:90295000-90300000,2
chr13	97780000	97785000	chr13:97890000-97895000,2
chr13	95375000	95380000	chr13:95450000-95455000,2
chr13	100020000	100025000	chr13:100095000-100100000,2
chr13	98925000	98930000	chr13:98960000-98965000,2
chr13	112975000	112980000	chr13:113010000-113015000,2
chr13	109775000	109780000	chr13:109820000-109825000,2
chr13	5870000	5875000	chr13:6465000-6470000,2
chr13	28415000	28420000	chr13:28755000-28760000,2
chr13	13590000	13595000	chr13:13675000-13680000,2
chr13	31470000	31475000	chr13:31510000-31515000,2
chr13	30095000	30100000	chr13:30190000-30195000,2
chr13	41645000	41650000	chr13:42050000-42055000,2
chr13	38140000	38145000	chr13:38175000-38180000,2
chr13	49350000	49355000	chr13:49385000-49390000,2
chr13	43300000	43305000	chr13:43475000-43480000,2
chr13	51195000	51200000	chr13:51330000-51335000,2
chr13	49485000	49490000	chr13:49520000-49525000,2
chr13	59855000	59860000	chr13:60465000-60470000,2
chr13	55170000	55175000	chr13:55255000-55260000,2
chr13	55550000	55555000	chr13:55585000-55590000,2
chr13	54110000	54115000	chr13:54445000-54450000,2
chr13	89740000	89745000	chr13:89775000-89780000,2
chr13	63175000	63180000	chr13:63210000-63215000,2
chr13	94100000	94105000	chr13:94140000-94145000,2
chr13	97240000	97245000	chr13:97335000-97340000,2
chr13	95375000	95380000	chr13:95480000-95485000,2
chr13	103185000	103190000	chr13:103235000-103240000,2
chr13	102315000	102320000	chr13:102370000-102375000,2
chr13	113415000	113420000	chr13:113450000-113455000,2
chr13	109750000	109755000	chr13:109820000-109825000,2
chr13	21415000	21420000	chr13:21510000-21515000,2
chr13	21415000	21420000	chr13:21450000-21455000,2
chr13	19360000	19365000	chr13:19615000-19620000,2
chr13	41465000	41470000	chr13:41560000-41565000,2
chr13	51920000	51925000	chr13:51965000-51970000,2
chr13	97240000	97245000	chr13:97310000-97315000,2
chr13	70745000	70750000	chr13:70790000-70795000,2
chr13	51840000	51845000	chr13:52175000-52180000,2
chr13	19580000	19585000	chr13:19615000-19620000,2
chr13	6190000	6195000	chr13:6465000-6470000,2
chr13	110560000	110565000	chr13:110905000-110910000,2
chr13	99375000	99380000	chr13:99410000-99415000,2
chr13	34070000	34075000	chr13:34160000-34165000,2
chr13	21880000	21885000	chr13:21935000-21940000,2
chr13	97240000	97245000	chr13:97935000-97940000,2
chr13	60040000	60045000	chr13:60090000-60095000,2
chr13	46745000	46750000	chr13:46795000-46800000,2
chr13	98885000	98890000	chr13:98925000-98930000,2
chr13	52125000	52130000	chr13:52185000-52190000,2
chr13	99375000	99380000	chr13:99510000-99515000,2
chr13	34070000	34075000	chr13:34125000-34130000,2
chr13	62910000	62915000	chr13:63330000-63335000,2
chr13	98925000	98930000	chr13:99055000-99060000,2
chr13	23450000	23455000	chr13:23485000-23490000,2
chr13	107795000	107800000	chr13:107830000-107835000,2
chr13	97240000	97245000	chr13:97520000-97525000,2
chr13	60410000	60415000	chr13:60465000-60470000,2
chr13	60010000	60015000	chr13:60465000-60470000,2
chr13	51885000	51890000	chr13:52220000-52225000,2
chr13	64250000	64255000	chr13:64295000-64300000,2
chr13	52770000	52775000	chr13:52815000-52820000,2
chr13	109820000	109825000	chr13:109860000-109865000,2
chr13	97240000	97245000	chr13:97760000-97765000,2
chr13	28950000	28955000	chr13:29600000-29605000,2
chr13	67480000	67485000	chr13:67525000-67530000,2
chr13	58390000	58395000	chr13:58520000-58525000,2
chr13	6130000	6135000	chr13:6190000-6195000,2
chr13	63080000	63085000	chr13:63185000-63190000,2
chr13	91385000	91390000	chr13:91440000-91445000,2
chr13	52175000	52180000	chr13:52215000-52220000,2
chr13	94825000	94830000	chr13:94940000-94945000,2
chr13	92665000	92670000	chr13:92720000-92725000,2
chr13	109230000	109235000	chr13:109535000-109540000,2
chr13	110560000	110565000	chr13:110600000-110605000,2
chr13	104520000	104525000	chr13:104585000-104590000,2
chr13	41465000	41470000	chr13:41515000-41520000,2
chr13	113500000	113505000	chr13:113615000-113620000,2
chr13	43475000	43480000	chr13:43520000-43525000,2
chr13	94140000	94145000	chr13:94180000-94185000,2
chr13	43475000	43480000	chr13:43545000-43550000,2
chr13	40860000	40865000	chr13:40915000-40920000,2
chr13	28730000	28735000	chr13:28950000-28955000,2
chr13	51845000	51850000	chr13:51965000-51970000,2
chr13	43425000	43430000	chr13:43460000-43465000,2
chr13	110630000	110635000	chr13:110905000-110910000,2
chr13	99440000	99445000	chr13:99510000-99515000,2
chr13	51195000	51200000	chr13:51420000-51425000,2
chr13	52080000	52085000	chr13:52155000-52160000,2
chr13	55170000	55175000	chr13:55220000-55225000,2
chr13	49575000	49580000	chr13:49625000-49630000,2
chr13	21715000	21720000	chr13:21750000-21755000,2
chr13	103290000	103295000	chr13:103330000-103335000,2
chr13	96430000	96435000	chr13:96595000-96600000,2
chr13	95410000	95415000	chr13:95450000-95455000,2
chr13	56590000	56595000	chr13:56635000-56640000,2
chr13	52095000	52100000	chr13:52175000-52180000,2
chr13	51840000	51845000	chr13:52080000-52085000,2
chr13	32500000	32505000	chr13:32555000-32560000,2
chr13	113320000	113325000	chr13:113615000-113620000,2
chr13	110480000	110485000	chr13:110560000-110565000,2
chr13	110395000	110400000	chr13:111240000-111245000,2
chr13	70720000	70725000	chr13:70790000-70795000,2
chr13	74315000	74320000	chr13:74350000-74355000,2
chr13	59770000	59775000	chr13:59820000-59825000,2
chr13	50950000	50955000	chr13:51195000-51200000,2
chr13	34200000	34205000	chr13:34235000-34240000,2
chr13	30995000	31000000	chr13:31030000-31035000,2
chr13	22040000	22045000	chr13:23450000-23455000,2
chr13	109630000	109635000	chr13:109750000-109755000,2
chr13	104475000	104480000	chr13:104550000-104555000,2
chr13	103235000	103240000	chr13:103290000-103295000,2
chr13	97240000	97245000	chr13:97435000-97440000,2
chr13	90105000	90110000	chr13:90140000-90145000,2
chr13	55220000	55225000	chr13:55255000-55260000,2
chr13	43265000	43270000	chr13:43300000-43305000,2
chr13	30935000	30940000	chr13:30970000-30975000,2
chr13	6130000	6135000	chr13:6165000-6170000,2
chr13	109230000	109235000	chr13:109265000-109270000,2
chr13	99440000	99445000	chr13:99475000-99480000,2
chr13	97475000	97480000	chr13:97520000-97525000,2
chr13	94060000	94065000	chr13:94165000-94170000,2
chr13	62920000	62925000	chr13:63110000-63115000,2
chr13	60010000	60015000	chr13:60075000-60080000,2
chr13	52890000	52895000	chr13:52925000-52930000,2
chr13	52010000	52015000	chr13:52065000-52070000,2
chr13	42435000	42440000	chr13:42485000-42490000,2
chr13	41410000	41415000	chr13:41465000-41470000,2
chr13	28950000	28955000	chr13:29835000-29840000,2
chr13	28295000	28300000	chr13:28415000-28420000,2
chr13	8885000	8890000	chr13:8930000-8935000,2
chr13	89740000	89745000	chr13:90085000-90090000,2
chr13	70690000	70695000	chr13:70775000-70780000,2
chr13	55425000	55430000	chr13:55470000-55475000,2
chr13	51840000	51845000	chr13:52620000-52625000,2
chr13	42175000	42180000	chr13:42245000-42250000,2
chr13	3670000	3675000	chr13:3740000-3745000,2
chr13	21360000	21365000	chr13:21530000-21535000,2
chr13	21940000	21945000	chr13:22025000-22030000,2
chr13	34125000	34130000	chr13:34160000-34165000,2
chr13	23695000	23700000	chr13:23735000-23740000,2
chr13	50950000	50955000	chr13:51420000-51425000,2
chr13	64180000	64185000	chr13:64250000-64255000,2
chr13	55100000	55105000	chr13:55170000-55175000,2
chr13	63065000	63070000	chr13:63110000-63115000,2
chr13	55130000	55135000	chr13:55170000-55175000,2
chr13	23450000	23455000	chr13:23510000-23515000,2
chr13	63150000	63155000	chr13:63185000-63190000,2
chr13	99235000	99240000	chr13:99305000-99310000,2
chr13	52080000	52085000	chr13:52125000-52130000,2
chr13	99375000	99380000	chr13:99440000-99445000,2
chr13	63045000	63050000	chr13:63105000-63110000,2
chr13	104550000	104555000	chr13:104585000-104590000,2
chr13	21715000	21720000	chr13:22040000-22045000,2
chr13	64370000	64375000	chr13:64405000-64410000,2
chr13	110395000	110400000	chr13:110630000-110635000,2
chr13	80885000	80890000	chr13:80935000-80940000,2
chr13	51840000	51845000	chr13:52220000-52225000,2
chr13	110395000	110400000	chr13:110560000-110565000,2
chr13	63045000	63050000	chr13:63150000-63155000,2
chr13	63150000	63155000	chr13:63240000-63245000,2
chr13	63110000	63115000	chr13:63240000-63245000,2
chr13	63110000	63115000	chr13:63150000-63155000,2
chr13	51885000	51890000	chr13:51965000-51970000,2
chr13	51845000	51850000	chr13:51885000-51890000,2
chr13	51885000	51890000	chr13:51920000-51925000,2
chr13	109820000	109825000	chr13:109905000-109910000,2
chr13	13570000	13575000	chr13:13605000-13610000,2
chr13	63185000	63190000	chr13:63240000-63245000,2
chr13	13515000	13520000	chr13:13605000-13610000,2
chr13	28415000	28420000	chr13:28950000-28955000,2
chr13	63045000	63050000	chr13:63080000-63085000,2
chr13	43240000	43245000	chr13:43300000-43305000,2
chr13	40915000	40920000	chr13:40980000-40985000,2
chr13	110560000	110565000	chr13:110630000-110635000,2
chr13	63045000	63050000	chr13:63240000-63245000,2
chr13	21360000	21365000	chr13:21415000-21420000,2
chr13	5440000	5445000	chr13:5510000-5515000,2
chr13	6620000	6625000	chr13:6680000-6685000,2
chr13	6120000	6125000	chr13:6465000-6470000,2
chr13	23570000	23575000	chr13:23695000-23700000,2
chr13	30690000	30695000	chr13:30725000-30730000,2
chr13	41705000	41710000	chr13:42050000-42055000,2
chr13	54110000	54115000	chr13:54220000-54225000,2
chr13	93880000	93885000	chr13:93915000-93920000,2
chr13	94070000	94075000	chr13:94140000-94145000,2
chr13	97435000	97440000	chr13:97520000-97525000,2
chr13	110905000	110910000	chr13:110960000-110965000,2
chr13	112680000	112685000	chr13:112855000-112860000,2
chr13	9450000	9455000	chr13:9485000-9490000,2
chr13	23790000	23795000	chr13:24280000-24285000,2
chr13	32495000	32500000	chr13:32675000-32680000,2
chr13	52650000	52655000	chr13:52925000-52930000,2
chr13	54575000	54580000	chr13:54615000-54620000,2
chr13	70675000	70680000	chr13:70745000-70750000,2
chr13	104285000	104290000	chr13:104785000-104790000,2
chr13	24495000	24500000	chr13:24685000-24690000,2
chr13	30605000	30610000	chr13:30690000-30695000,2
chr13	34160000	34165000	chr13:34200000-34205000,2
chr13	37450000	37455000	chr13:37940000-37945000,2
chr13	42535000	42540000	chr13:42570000-42575000,2
chr13	63240000	63245000	chr13:63275000-63280000,2
chr13	74640000	74645000	chr13:74730000-74735000,2
chr13	91475000	91480000	chr13:91520000-91525000,2
chr13	96430000	96435000	chr13:96540000-96545000,2
chr13	97240000	97245000	chr13:97405000-97410000,2
chr13	109685000	109690000	chr13:109820000-109825000,2
chr13	9300000	9305000	chr13:9335000-9340000,2
chr13	30630000	30635000	chr13:30690000-30695000,2
chr13	15805000	15810000	chr13:15860000-15865000,2
chr13	32555000	32560000	chr13:32600000-32605000,2
chr13	32095000	32100000	chr13:32180000-32185000,2
chr13	52395000	52400000	chr13:52445000-52450000,2
chr13	34555000	34560000	chr13:34595000-34600000,2
chr13	56560000	56565000	chr13:56645000-56650000,2
chr13	64250000	64255000	chr13:64370000-64375000,2
chr13	93880000	93885000	chr13:94055000-94060000,2
chr13	98925000	98930000	chr13:99235000-99240000,2
chr13	94095000	94100000	chr13:94165000-94170000,2
chr13	64335000	64340000	chr13:64370000-64375000,2
chr13	52520000	52525000	chr13:52560000-52565000,2
chr13	110595000	110600000	chr13:110630000-110635000,2
chr13	103150000	103155000	chr13:103185000-103190000,2
chr13	104480000	104485000	chr13:104585000-104590000,2
chr13	99195000	99200000	chr13:99235000-99240000,2
chr13	92750000	92755000	chr13:93240000-93245000,2
chr13	76590000	76595000	chr13:76630000-76635000,2
chr13	73750000	73755000	chr13:73815000-73820000,2
chr13	62940000	62945000	chr13:63030000-63035000,2
chr13	30190000	30195000	chr13:30235000-30240000,2
chr13	109685000	109690000	chr13:109720000-109725000,2
chr13	99375000	99380000	chr13:99840000-99845000,2
chr13	60270000	60275000	chr13:60465000-60470000,2
chr13	24620000	24625000	chr13:24655000-24660000,2
chr13	113550000	113555000	chr13:113615000-113620000,2
chr13	112680000	112685000	chr13:112760000-112765000,2
chr13	101615000	101620000	chr13:101655000-101660000,2
chr13	94875000	94880000	chr13:94940000-94945000,2
chr13	63240000	63245000	chr13:63330000-63335000,2
chr13	51840000	51845000	chr13:52105000-52110000,2
chr13	41525000	41530000	chr13:41560000-41565000,2
chr13	29715000	29720000	chr13:29775000-29780000,2
chr13	21360000	21365000	chr13:21450000-21455000,2
chr13	118205000	118210000	chr13:118240000-118245000,2
chr13	114305000	114310000	chr13:114360000-114365000,2
chr14	78675000	78700000	chr14:79100000-79125000,2
chr14	76200000	76225000	chr14:76450000-76475000,2
chr14	72875000	72900000	chr14:72975000-73000000,2
chr14	78675000	78700000	chr14:78850000-78875000,2
chr14	63175000	63200000	chr14:63450000-63475000,2
chr14	63250000	63275000	chr14:63450000-63475000,2
chr14	13450000	13475000	chr14:13900000-13925000,2
chr14	46975000	47000000	chr14:47250000-47275000,2
chr14	77100000	77125000	chr14:77825000-77850000,2
chr14	13550000	13575000	chr14:13750000-13775000,2
chr14	50850000	50875000	chr14:51025000-51050000,2
chr14	16225000	16250000	chr14:16350000-16375000,2
chr14	63075000	63100000	chr14:63450000-63475000,2
chr14	99525000	99550000	chr14:99875000-99900000,2
chr14	88250000	88275000	chr14:88450000-88475000,2
chr14	13450000	13475000	chr14:13650000-13675000,2
chr14	103225000	103250000	chr14:103525000-103550000,2
chr14	55775000	55800000	chr14:55925000-55950000,2
chr14	8075000	8100000	chr14:8300000-8325000,2
chr14	105150000	105175000	chr14:105475000-105500000,2
chr14	105375000	105400000	chr14:105850000-105875000,2
chr14	21950000	21975000	chr14:23025000-23050000,2
chr14	76125000	76150000	chr14:76450000-76475000,2
chr14	34075000	34100000	chr14:34350000-34375000,2
chr14	121300000	121325000	chr14:121575000-121600000,2
chr14	54050000	54075000	chr14:54400000-54425000,2
chr14	12200000	12225000	chr14:12300000-12325000,2
chr14	69850000	69875000	chr14:70375000-70400000,2
chr14	120825000	120850000	chr14:121150000-121175000,2
chr14	65850000	65875000	chr14:66125000-66150000,2
chr14	105475000	105500000	chr14:106175000-106200000,2
chr14	118450000	118475000	chr14:118800000-118825000,2
chr14	48375000	48400000	chr14:48975000-49000000,2
chr14	34400000	34425000	chr14:34750000-34775000,2
chr14	7950000	7975000	chr14:8150000-8175000,2
chr14	59600000	59625000	chr14:60000000-60025000,2
chr14	54700000	54725000	chr14:55075000-55100000,2
chr14	19850000	19875000	chr14:20000000-20025000,2
chr14	110275000	110300000	chr14:110500000-110525000,2
chr14	76125000	76150000	chr14:77000000-77025000,2
chr14	63550000	63575000	chr14:63775000-63800000,2
chr14	54875000	54900000	chr14:55075000-55100000,2
chr14	48175000	48200000	chr14:49100000-49125000,2
chr14	115825000	115850000	chr14:117925000-117950000,2
chr14	45975000	46000000	chr14:46700000-46725000,2
chr14	87450000	87475000	chr14:88450000-88475000,2
chr14	12600000	12625000	chr14:13175000-13200000,2
chr14	56825000	56850000	chr14:57050000-57075000,2
chr14	116575000	116600000	chr14:116900000-116925000,2
chr14	109875000	109900000	chr14:110750000-110775000,2
chr14	105925000	105950000	chr14:106175000-106200000,2
chr14	61625000	61650000	chr14:62450000-62475000,2
chr14	34800000	34825000	chr14:36675000-36700000,2
chr14	26650000	26675000	chr14:27075000-27100000,2
chr14	55925000	55950000	chr14:56075000-56100000,2
chr14	56000000	56025000	chr14:56300000-56325000,2
chr14	44975000	45000000	chr14:45125000-45150000,2
chr14	74100000	74125000	chr14:74700000-74725000,2
chr14	76475000	76500000	chr14:77450000-77475000,2
chr14	47725000	47750000	chr14:49100000-49125000,2
chr14	8600000	8625000	chr14:9375000-9400000,2
chr14	34800000	34825000	chr14:36225000-36250000,2
chr14	79650000	79675000	chr14:79900000-79925000,2
chr14	56375000	56400000	chr14:57050000-57075000,2
chr14	65000000	65025000	chr14:65525000-65550000,2
chr14	114225000	114250000	chr14:114450000-114475000,2
chr14	8350000	8375000	chr14:8925000-8950000,2
chr14	27175000	27200000	chr14:27725000-27750000,2
chr14	89650000	89675000	chr14:104375000-104400000,2
chr14	24200000	24210000	chr14:24270000-24280000,2
chr14	57820000	57830000	chr14:57880000-57890000,2
chr14	54880000	54890000	chr14:54930000-54940000,2
chr14	66180000	66190000	chr14:66230000-66240000,2
chr14	121300000	121310000	chr14:121350000-121360000,2
chr14	64900000	64910000	chr14:64950000-64960000,2
chr14	30820000	30830000	chr14:30940000-30950000,2
chr14	61570000	61580000	chr14:61620000-61630000,2
chr14	22810000	22820000	chr14:22920000-22930000,2
chr14	21140000	21150000	chr14:21220000-21230000,2
chr14	48110000	48120000	chr14:48280000-48290000,2
chr14	24490000	24500000	chr14:25460000-25470000,2
chr14	22620000	22630000	chr14:23040000-23050000,2
chr14	46880000	46890000	chr14:47280000-47290000,2
chr14	20700000	20710000	chr14:20940000-20950000,2
chr14	122540000	122550000	chr14:122680000-122690000,2
chr14	105580000	105590000	chr14:105820000-105830000,2
chr14	72550000	72560000	chr14:73010000-73020000,2
chr14	60830000	60840000	chr14:61010000-61020000,2
chr14	11670000	11680000	chr14:11730000-11740000,2
chr14	61650000	61660000	chr14:62320000-62330000,2
chr14	45990000	46000000	chr14:46560000-46570000,2
chr14	30790000	30800000	chr14:30940000-30950000,2
chr14	22920000	22930000	chr14:23010000-23020000,2
chr14	123590000	123600000	chr14:123750000-123760000,2
chr14	71000000	71010000	chr14:71150000-71160000,2
chr14	65240000	65250000	chr14:65380000-65390000,2
chr14	64490000	64500000	chr14:64590000-64600000,2
chr14	78690000	78700000	chr14:79010000-79020000,2
chr14	60830000	60840000	chr14:61220000-61230000,2
chr14	46190000	46200000	chr14:46560000-46570000,2
chr14	13760000	13770000	chr14:13810000-13820000,2
chr14	64640000	64650000	chr14:64700000-64710000,2
chr14	63400000	63410000	chr14:63510000-63520000,2
chr14	22520000	22530000	chr14:22620000-22630000,2
chr14	21630000	21640000	chr14:21690000-21700000,2
chr14	65020000	65030000	chr14:65150000-65160000,2
chr14	60540000	60550000	chr14:60680000-60690000,2
chr14	34810000	34820000	chr14:36130000-36140000,2
chr14	21990000	22000000	chr14:22040000-22050000,2
chr14	16510000	16520000	chr14:16630000-16640000,2
chr14	122590000	122600000	chr14:122900000-122910000,2
chr14	70560000	70570000	chr14:70610000-70620000,2
chr14	63070000	63080000	chr14:63140000-63150000,2
chr14	58360000	58370000	chr14:58610000-58620000,2
chr14	34310000	34320000	chr14:34400000-34410000,2
chr14	13810000	13820000	chr14:13910000-13920000,2
chr14	12320000	12330000	chr14:12390000-12400000,2
chr14	105490000	105500000	chr14:105820000-105830000,2
chr14	79130000	79140000	chr14:79340000-79350000,2
chr14	61650000	61660000	chr14:62240000-62250000,2
chr14	61440000	61450000	chr14:61620000-61630000,2
chr14	45540000	45550000	chr14:45590000-45600000,2
chr14	26970000	26980000	chr14:27080000-27090000,2
chr14	24520000	24530000	chr14:25040000-25050000,2
chr14	13760000	13770000	chr14:13890000-13900000,2
chr14	114170000	114180000	chr14:114220000-114230000,2
chr14	68730000	68740000	chr14:69030000-69040000,2
chr14	68730000	68740000	chr14:68790000-68800000,2
chr14	24490000	24500000	chr14:25050000-25060000,2
chr14	9670000	9680000	chr14:9750000-9760000,2
chr14	71590000	71600000	chr14:71650000-71660000,2
chr14	64750000	64760000	chr14:65100000-65110000,2
chr14	26710000	26720000	chr14:26860000-26870000,2
chr14	21990000	22000000	chr14:22810000-22820000,2
chr14	73110000	73120000	chr14:73480000-73490000,2
chr14	66400000	66410000	chr14:66780000-66790000,2
chr14	56970000	56980000	chr14:57050000-57060000,2
chr14	56510000	56520000	chr14:56570000-56580000,2
chr14	122280000	122290000	chr14:122330000-122340000,2
chr14	105610000	105620000	chr14:106020000-106030000,2
chr14	104480000	104490000	chr14:104550000-104560000,2
chr14	103840000	103850000	chr14:103900000-103910000,2
chr14	92010000	92020000	chr14:92080000-92090000,2
chr14	55700000	55710000	chr14:55860000-55870000,2
chr14	54060000	54070000	chr14:54600000-54610000,2
chr14	30130000	30140000	chr14:30440000-30450000,2
chr14	18380000	18390000	chr14:19000000-19010000,2
chr14	86630000	86640000	chr14:86710000-86720000,2
chr14	116790000	116800000	chr14:116950000-116960000,2
chr14	105980000	105990000	chr14:106070000-106080000,2
chr14	79160000	79170000	chr14:79320000-79330000,2
chr14	24520000	24530000	chr14:25430000-25440000,2
chr14	120670000	120680000	chr14:120800000-120810000,2
chr14	101770000	101780000	chr14:102250000-102260000,2
chr14	99160000	99170000	chr14:99250000-99260000,2
chr14	86830000	86840000	chr14:86880000-86890000,2
chr14	54920000	54930000	chr14:55430000-55440000,2
chr14	34810000	34820000	chr14:36860000-36870000,2
chr14	17090000	17100000	chr14:17330000-17340000,2
chr14	16420000	16430000	chr14:16810000-16820000,2
chr14	122480000	122490000	chr14:122560000-122570000,2
chr14	105900000	105910000	chr14:106360000-106370000,2
chr14	75990000	76000000	chr14:76450000-76460000,2
chr14	68730000	68740000	chr14:68860000-68870000,2
chr14	51100000	51110000	chr14:51240000-51250000,2
chr14	22650000	22660000	chr14:22870000-22880000,2
chr14	13350000	13360000	chr14:13920000-13930000,2
chr14	114170000	114180000	chr14:114300000-114310000,2
chr14	103270000	103280000	chr14:103320000-103330000,2
